id,name,lat,lon,rest_count
700,Heilig Kruiskerk,51.2191128600,4.1953061070,49
810,Sint-Pauluskerk,51.1691515100,4.6508870680,49
863,Onze-Lieve-Vrouwekerk,51.2213681500,4.2821250340,49
1102,O.C. Boerenpoort,51.2203734400,4.2843916720,49
1327,0,50.9644803000,4.1090039700,49
1371,Sint-Egidiuskerk,51.0189585600,4.1103606580,49
1411,Sint-Lambertuskerk,51.1387173400,4.6293870450,49
1567,Sint-Martinuskerk,51.0624635600,4.1534193210,49
1571,Sint-Martinuskerk,50.9470633100,4.0988250190,49
1580,Onze-Lieve-Vrouw Middelareskerk,50.9652683100,4.1553793800,49
1631,Sint-Medarus en Gildarduskerk,50.9736948300,4.2795800860,49
1646,Sint-Niklaaskerk,50.8893795400,3.9366880390,49
1651,Sint-Petrus-en-Pauluskerk,51.2521290600,4.2768634920,49
1665,0,51.0317163100,4.0967558750,49
1716,Sint-Jozef Arbeiderkerk,51.0331695600,4.1153572740,49
1735,Sint-Gaugericuskerk,50.7291186000,4.2997577940,49
1779,Heilig Hartkerk,50.9360698300,5.4197187900,49
1952,Sint-Lambertuskerk,50.9357786100,3.9306979910,49
1988,Sint-Martinuskerk,50.9138363500,3.9205979980,49
2148,Kapel Priester Poppe,51.0636806200,4.1562877040,49
2185,Sint-Jan Evangelistkerk,51.2231115900,4.2584497110,49
2326,Onze-Lieve-Vrouwkerk,51.1643718200,4.6876939070,49
2355,Sint-Willibrorduskerk,51.1609181200,4.6708543780,49
2442,Onze Lieve Vrouw ten Hemel Opgenomenkerk,51.1370105400,4.6816836790,49
69,Sint-Kwintenkerk,50.9737336000,4.3061455420,48
189,Sint-Gertrudiskerk,51.0484267400,4.1298150910,48
302,Sint-Servaaskerk,50.9081592700,5.4196294900,48
338,Sint-Denijskerk,50.9603637000,3.9520763360,48
426,Begijnhofkerk,51.0271659300,4.0977364040,48
448,0,50.9074606700,5.4243206140,48
514,Onze-Lieve-Vrouw Hulp der Christenenkerk,51.0758955600,4.0959521450,48
643,Sint-Pauluskerk,50.9694296700,4.1889878910,48
644,Sint-Margarethakerk,50.9548480600,4.1417926160,48
645,0,51.0944724900,4.0753957840,48
847,Sint-Jan Baptist en Sint-Amanduskerk,51.0665562100,4.4071192200,48
972,0,51.0945643500,4.0761645970,48
1108,0,51.0929773400,4.1382955980,48
1112,0,51.0987634400,4.1378764710,48
1113,0,51.2191695500,4.1934588240,48
1159,Sint-Rochuskapel,50.9025148500,5.4109060080,48
1197,0,50.9027055000,5.3956804470,48
1348,Sint-Pietrs en Paulusabdij,51.0295435700,4.0996346420,48
1365,Heilige Familiekerk,51.0916466400,4.1553935940,48
1369,Sint-Walburgakerk,50.9317356400,4.1335472050,48
1707,Sint-Gillis-Binnenkerk,51.0273183500,4.1006790610,48
1719,Heilig Hartkerk,51.0920707500,4.1240511920,48
1758,Sint-Pietersbandenkerk,51.0982484800,4.1382003760,48
2147,Onze-Lieve-Vrouw van Zwijvekekerk,51.0204466800,4.0916865060,48
2401,Sint-Odulf,51.0485547300,4.0617663700,48
139,Sint-Lambertuskerk,51.0207614600,5.3953626380,47
163,Sint-Martinuskerk,51.0315114100,5.3719939060,47
166,Onze-Lieve-Vrouw-van-de-Rozenkranskerk Westrode,50.9921323300,4.3236584740,47
186,Onze-Lieve-Vrouw-van-Banneuxkerk,51.0235836500,5.4801740550,47
237,Sint-Jozef Werkmankerk,51.0420055600,5.3845479030,47
257,Sint-Trudokerk,51.0557325300,5.3839424060,47
291,Sint-Laurentiuskerk,50.9507426800,4.3080125980,47
327,Sint-Aldegondiskerk,50.9964101600,4.0692346410,47
355,Onze-Lieve-Vrouw Boodschapkerk,50.9577419600,4.2873434540,47
362,Sint-Antoniuskerk,51.0415638400,5.3463124100,47
438,Kerkje van Laak,51.0432932900,5.3811990910,47
521,Sint-Genovevakerk,50.9955290000,4.2678434810,47
608,Sint-Baafskerk,50.9742542400,3.9564297340,47
642,Harmonium Art Museum,51.0802562200,4.3654393820,47
723,Sint-Jan-in-de-Oliekerk,51.1752130900,4.5233358230,47
779,Onze-Lieve-Vrouw van Smartenkapel,51.1211576300,4.3260761210,47
1350,Sint-Pieters-Bandenkerk,50.9428417500,4.1722402520,47
1359,Onze-Lieve-Vrouwekerk,51.0321970900,4.0943722960,47
